Prediction Window (Months),Task,AUROC,AUPRC,Sensitivity,Specificity,F1-Score,Lesion Complexity Score,Stent Type Score,AI Risk Prediction Score,Calibration Score,p-value,AUPRC (Ischemia),AUPRC (Bleeding,AUROC (Ischemia),AUROC (Bleeding),Standard Care EFS (%),AI-Driven EFS (%),Absolute Risk Reduction (ARR %),Relative Risk Reduction (RRR %),p-value
6,Ischemic Event,0.89,0.76,90.8,84.4,87.5,0.28,0.07,0.73,0.916002357,0.003635607,0.682021963,0.666251424,0.845056847,0.702827073,68.6469524,75.48111034,-6.834157948,-9.955515445,0.003895302
3,Ischemic Event,0.8,0.75,84.7,74.3,79.2,0.3,0.4,0.78,0.891175655,0.002447545,0.661931929,0.625344177,0.751896864,0.774766174,72.51926805,77.27473655,-4.755468497,-6.557524124,0.004059455
3,Ischemic Event,0.84,0.7,86.9,74,79.9,0.54,0.61,0.67,0.941478378,0.002037419,0.688423342,0.669538372,0.826293873,0.749308254,72.69661093,76.01923715,-3.322626225,-4.570537997,0.004590564
3,Ischemic Event,0.83,0.75,92.7,71.3,80.6,0.01,0.97,0.9,0.935028274,0.001143847,0.726674435,0.601128275,0.778467967,0.771795736,67.82032773,71.09277555,-3.272447816,-4.825172519,0.003266241
32,Ischemic Event,0.89,0.8,91.2,71,79.8,0.15,0.43,0.65,0.919168318,0.004079305,0.698156878,0.672343419,0.774307254,0.771658974,73.04643021,80.47885596,-7.432425752,-10.17493357,0.002889842
37,Bleeding Risk,0.81,0.73,86,75,80.1,0.32,0.86,0.65,0.855437423,0.004029735,0.670126186,0.618929031,0.760464073,0.792108875,74.53113533,81.16144997,-6.630314643,-8.896033334,0.003992542
33,Bleeding Risk,0.83,0.74,83.2,72.1,77.3,0.67,0.67,0.7,0.929877525,0.00387086,0.677923793,0.619161121,0.768706698,0.727387061,68.16522899,72.82504613,-4.659817149,-6.836061755,0.004258896
4,Bleeding Risk,0.89,0.72,87.5,85,86.2,0,0.26,0.67,0.917281908,0.00358008,0.726128605,0.630776322,0.810110316,0.758487466,68.61937938,75.57477519,-6.955395813,-10.13619749,0.002113677
18,Bleeding Risk,0.9,0.83,83.7,72.1,77.5,0.88,0.82,0.91,0.918957005,0.001553985,0.745306928,0.602382555,0.811786498,0.720410578,67.72461753,75.00950628,-7.284888748,-10.75663328,0.004589139
16,Bleeding Risk,0.83,0.76,87.4,76.2,81.4,0.54,0.08,0.91,0.871241493,0.004626563,0.697178102,0.62100212,0.773173746,0.719090527,74.60556085,78.84801389,-4.242453038,-5.686510482,0.004717998
