Prediction Window (Months),Task,AUROC,AUPRC,Sensitivity,Specificity,F1-Score,Lesion Complexity Score,Stent Type Score,AI Risk Prediction Score,Calibration Score,p-value,AUPRC (Ischemia),AUPRC (Bleeding,AUROC (Ischemia),AUROC (Bleeding),Standard Care EFS (%),AI-Driven EFS (%),Absolute Risk Reduction (ARR %),Relative Risk Reduction (RRR %),p-value
,Bleeding Risk,0.91,0.72,89,86,87.5,0.78,0.81,0.77,0.892944815,0.003547509,0.660671056,0.606679586,0.807964795,0.702489688,66.62046463,74.12735326,-7.506888636,-11.26814212,0.004165131
30,Bleeding Risk,0.89,0.69,92.5,75.7,83.3,0.48,0.48,0.65,0.910786519,0.004080799,0.697921441,0.673509061,0.797188583,0.768070865,68.78190322,72.28947705,-3.507573823,-5.099559126,0.004327888
6,Ischemic Event,0.84,0.68,84.4,71.9,77.7,0.13,0.61,0.78,0.878228411,0.00406608,0.698865043,0.615510778,0.830660053,0.703020285,73.27407497,78.77535824,-5.501283275,-7.507816751,0.002599882
32,Bleeding Risk,0.79,0.84,90.2,81,85.4,0.65,0.19,0.71,0.876841633,0.001393704,0.701915454,0.696148799,0.835432794,0.731703199,69.83940403,77.62020965,-7.780805621,-11.14099659,0.001010627
35,Ischemic Event,0.91,0.69,87.2,71.2,78.4,0.78,0.71,0.94,0.916517471,0.001201224,0.700021199,0.617041701,0.809208833,0.746780651,74.664199,78.50478035,-3.840581346,-5.143805729,0.004572083
7,Bleeding Risk,0.85,0.76,83.1,84.9,84,0.64,0.67,0.82,0.899325602,0.001486607,0.744065286,0.613753314,0.809206748,0.702936585,73.87259193,81.48170783,-7.609115901,-10.30032344,0.002902968
37,Ischemic Event,0.87,0.73,82.4,81.4,81.9,0.25,0.1,0.89,0.909384941,0.004910336,0.688574794,0.689155588,0.844430034,0.745548139,65.63843801,70.55212215,-4.913684147,-7.485985797,0.001083348
0,Ischemic Event,0.85,0.7,84.9,79,81.8,0.63,0.55,0.81,0.867237647,0.001715798,0.734633393,0.671162355,0.848123271,0.712120502,72.47107967,77.47419172,-5.003112047,-6.903598055,0.001618293
6,Bleeding Risk,0.83,0.76,81.2,84.5,82.8,0.77,0.39,0.85,0.851956338,0.003961295,0.688950064,0.604243032,0.778952795,0.788171791,69.40731884,75.40366168,-5.996342833,-8.639352351,0.003477659
6,Bleeding Risk,0.79,0.78,87.1,72,78.8,0.02,0.95,0.89,0.910386866,0.002079757,0.748969183,0.654488575,0.822359369,0.705644712,65.05371993,70.66417422,-5.610454291,-8.624340464,0.003867795
0,Bleeding Risk,0.83,0.84,82,81.2,81.6,0.56,0.17,0.76,0.850725298,0.004929853,0.696457961,0.64904065,0.757882278,0.765735695,69.99068324,76.50983394,-6.519150696,-9.314312125,0.003191571
34,Bleeding Risk,0.81,0.67,86.2,76.5,81.1,0.37,0.6,0.78,0.860371794,0.001383264,0.69120678,0.615704228,0.777286958,0.759137843,70.31644366,76.33815386,-6.021710205,-8.56372975,0.004618733
7,Bleeding Risk,0.85,0.8,88.8,76.8,82.4,0.24,0.22,0.84,0.880147612,0.001565793,0.689150158,0.66535566,0.800904622,0.744336599,68.10291551,75.58570854,-7.482793023,-10.98747824,0.002475141
35,Bleeding Risk,0.89,0.68,89.4,80.3,84.6,0.66,0.05,0.72,0.886805245,0.001078406,0.689053128,0.634763239,0.767540967,0.78038734,73.99941512,77.61768091,-3.618265783,-4.889587002,0.004550583
